business_name,zone,category,address,phone,score,rating,reviews,domain_suggestion,google_maps_url,status,contact_date,contact_notes
"Herbert M. Grossman, M.D.",catalina-foothills,doctor,"4729 E Sunrise Dr POB 233, Tucson, AZ 85718",+1 520-742-7724,132,5.0,7,herbertmgrossmanmd.com,https://maps.google.com/?q=Herbert%20M.%20Grossman%2C%20M.D.%204729%20E%20Sunrise%20Dr%20POB%20233%2C%20Tucson%2C%20AZ%2085718%2C%20USA,not_contacted,,
Bone,catalina-foothills,doctor,"4640 E Sunrise Dr #100, Tucson, AZ 85718",,132,5.0,19,bonetucson.com,https://maps.google.com/?q=Bone%204640%20E%20Sunrise%20Dr%20%23100%2C%20Tucson%2C%20AZ%2085718%2C%20USA,not_contacted,,
Follow Through Fitness,catalina-foothills,physiotherapist,"5501 N Swan Rd #150, Tucson, AZ 85718",+1 520-405-1837,130,5.0,5,followthroughfitnesstucson.com,https://maps.google.com/?q=Follow%20Through%20Fitness%205501%20N%20Swan%20Rd%20%23150%2C%20Tucson%2C%20AZ%2085718%2C%20USA,not_contacted,,
Wildflower Med Spa LLC,catalina-foothills,spa,"4640 E Sunrise Dr #100, Tucson, AZ 85718",+1 520-543-8970,127,4.6,19,wildflowermedspatucson.com,https://maps.google.com/?q=Wildflower%20Med%20Spa%20LLC%204640%20E%20Sunrise%20Dr%20%23100%2C%20Tucson%2C%20AZ%2085718%2C%20USA,not_contacted,,
Jouvance Med Spa,catalina-foothills,spa,"4640 E Sunrise Dr #100, Tucson, AZ 85718",+1 520-543-8970,127,5.0,18,jouvancemedspa.com,https://maps.google.com/?q=Jouvance%20Med%20Spa%204640%20E%20Sunrise%20Dr%20%23100%2C%20Tucson%2C%20AZ%2085718%2C%20USA,not_contacted,,Note: same address as Wildflower — may share suite
Dr. Joseph Larsen,oro-valley,dentist,"9000 N Oracle Rd, Oro Valley, AZ 85704",+1 520-297-2007,127,5.0,1,drjosephlarsen.com,https://maps.google.com/?q=Dr.%20Joseph%20Larsen%209000%20N%20Oracle%20Rd%2C%20Oro%20Valley%2C%20AZ%2085704%2C%20USA,not_contacted,,
Joshua Crosby,oro-valley,dentist,"9000 N Oracle Rd Ste 200, Tucson, AZ 85704",+1 520-297-5422,127,5.0,2,joshuacrosbytucson.com,https://maps.google.com/?q=Joshua%20Crosby%209000%20N%20Oracle%20Rd%20Ste%20200%2C%20Tucson%2C%20AZ%2085704%2C%20USA,not_contacted,,
"Dr. Randall W. Fehr, MD",oro-valley,doctor,"10371 N Oracle Rd Suite 204, Oro Valley, AZ 85737",+1 520-877-3336,127,5.0,4,drrandallwfehrmd.com,https://maps.google.com/?q=Dr.%20Randall%20W.%20Fehr%2C%20MD%2010371%20N%20Oracle%20Rd%20Suite%20204%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,not_contacted,,
"Will Polec, NMD",catalina-foothills,doctor,"6262 N Swan Rd Ste 120, Tucson, AZ 85718",+1 520-299-4700,126,3.9,7,willpolecnmd.com,https://maps.google.com/?q=Will%20Polec%2C%20NMD%206262%20N%20Swan%20Rd%20Ste%20120%2C%20Tucson%2C%20AZ%2085718%2C%20USA,not_contacted,,
Franklyn Pfeil,oro-valley,physiotherapist,"10550 N La Cañada Dr Ste 160, Tucson, AZ 85737",+1 520-321-0204,125,5.0,1,franklynpfeil.com,https://maps.google.com/?q=Franklyn%20Pfeil%2010550%20N%20La%20Ca%C3%B1ada%20Dr%20Ste%20160%2C%20Tucson%2C%20AZ%2085737%2C%20USA,not_contacted,,
