business_name,neighborhood,category,source_file
Michael Kors,catalina-foothills,jewelry_store,data/master-prospects.csv
Sunglass Hut,catalina-foothills,gift_shop,data/master-prospects.csv
Michael Kors,catalina-foothills,jewelry_store,prospects/catalina-foothills/catalina-foothills-prospects.csv
Sunglass Hut,catalina-foothills,gift_shop,prospects/catalina-foothills/catalina-foothills-prospects.csv
Ann Taylor Factory Store,dove-mountain-marana,clothing_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
Tommy Hilfiger,dove-mountain-marana,clothing_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
Calvin Klein,dove-mountain-marana,clothing_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
COACH Outlet,dove-mountain-marana,clothing_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
Disney Store,dove-mountain-marana,clothing_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
Polo Ralph Lauren Factory Store,dove-mountain-marana,clothing_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
GUESS Factory,dove-mountain-marana,clothing_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
Michael Kors Outlet,dove-mountain-marana,clothing_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
Kate Spade Outlet,dove-mountain-marana,clothing_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
LOFT Outlet,dove-mountain-marana,clothing_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
Claire's,dove-mountain-marana,jewelry_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
KAY Outlet,dove-mountain-marana,jewelry_store,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
Sunglass Hut,dove-mountain-marana,gift_shop,prospects/dove-mountain-marana/dove-mountain-marana-prospects.csv
