business_name,zone,tier,score,platform,domain_suggestion,google_rating,review_count,category,google_maps_url,rationale
"Herbert M. Grossman, M.D.",catalina-foothills,1,132,none,herbertmgrossmanmd.com,5,7,doctor,https://maps.google.com/?q=Herbert%20M.%20Grossman%2C%20M.D.%204729%20E%20Sunrise%20Dr%20POB%20233%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 1 — no website; doctor in Catalina Foothills, 5★ 7 reviews"
Bone,catalina-foothills,1,132,none,bonetucson.com,5,19,doctor,https://maps.google.com/?q=Bone%204640%20E%20Sunrise%20Dr%20%23100%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 1 — no website; doctor in Catalina Foothills, 5★ 19 reviews"
Tucson Foot and Ankle Institute,casas-adobes,1,130,none,tucsonfootandankleinstitute.com,4.8,248,doctor,https://maps.google.com/?q=Tucson%20Foot%20and%20Ankle%20Institute%207406%20N%20La%20Cholla%20Blvd%2C%20Tucson%2C%20AZ%2085741%2C%20USA,"Tier 1 — no website; doctor in Casas Adobes, 4.8★ 248 reviews"
Follow Through Fitness,catalina-foothills,1,130,none,followthroughfitnesstucson.com,5,5,physiotherapist,https://maps.google.com/?q=Follow%20Through%20Fitness%205501%20N%20Swan%20Rd%20%23150%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 1 — no website; physiotherapist in Catalina Foothills, 5★ 5 reviews"
Wildflower Med Spa LLC,catalina-foothills,1,127,none,wildflowermedspatucson.com,4.6,19,spa,https://maps.google.com/?q=Wildflower%20Med%20Spa%20LLC%204640%20E%20Sunrise%20Dr%20%23100%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 1 — no website; spa in Catalina Foothills, 4.6★ 19 reviews"
Jouvance Med Spa,catalina-foothills,1,127,none,jouvancemedspa.com,5,18,spa,https://maps.google.com/?q=Jouvance%20Med%20Spa%204640%20E%20Sunrise%20Dr%20%23100%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 1 — no website; spa in Catalina Foothills, 5★ 18 reviews"
Dr. Joseph Larsen,oro-valley,1,127,none,drjosephlarsen.com,5,1,dentist,https://maps.google.com/?q=Dr.%20Joseph%20Larsen%209000%20N%20Oracle%20Rd%2C%20Oro%20Valley%2C%20AZ%2085704%2C%20USA,"Tier 1 — no website; dentist in Oro Valley, 5★ 1 reviews"
Joshua Crosby,oro-valley,1,127,none,joshuacrosbytucson.com,5,2,dentist,https://maps.google.com/?q=Joshua%20Crosby%209000%20N%20Oracle%20Rd%20Ste%20200%2C%20Tucson%2C%20AZ%2085704%2C%20USA,"Tier 1 — no website; dentist in Oro Valley, 5★ 2 reviews"
"Dr. Randall W. Fehr, MD",oro-valley,1,127,none,drrandallwfehrmd.com,5,4,doctor,https://maps.google.com/?q=Dr.%20Randall%20W.%20Fehr%2C%20MD%2010371%20N%20Oracle%20Rd%20Suite%20204%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,"Tier 1 — no website; doctor in Oro Valley, 5★ 4 reviews"
"Will Polec, NMD",catalina-foothills,1,126,none,willpolecnmd.com,3.9,7,doctor,https://maps.google.com/?q=Will%20Polec%2C%20NMD%206262%20N%20Swan%20Rd%20Ste%20120%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 1 — no website; doctor in Catalina Foothills, 3.9★ 7 reviews"
LV Nail Spa,tanque-verde-sabino,1,126,none,lvnailspatucson.com,4.3,234,beauty_salon,https://maps.google.com/?q=LV%20Nail%20Spa%208856%20E%20Tanque%20Verde%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,"Tier 1 — no website; beauty salon in Tanque Verde, 4.3★ 234 reviews"
Franklyn Pfeil,oro-valley,1,125,none,franklynpfeil.com,5,1,physiotherapist,https://maps.google.com/?q=Franklyn%20Pfeil%2010550%20N%20La%20Ca%C3%B1ada%20Dr%20Ste%20160%2C%20Tucson%2C%20AZ%2085737%2C%20USA,"Tier 1 — no website; physiotherapist in Oro Valley, 5★ 1 reviews"
Pelvic Health 2 You,oro-valley,1,125,none,pelvichealth2youtucson.com,5,1,physiotherapist,https://maps.google.com/?q=Pelvic%20Health%202%20You%201182%20W%20Masters%20Cir%2C%20Tucson%2C%20AZ%2085737%2C%20USA,"Tier 1 — no website; physiotherapist in Oro Valley, 5★ 1 reviews"
Top Knotch Salon,catalina-foothills,1,124,none,topknotchsalontucson.com,4.6,16,hair_salon,https://maps.google.com/?q=Top%20Knotch%20Salon%205673%20N%20Swan%20Rd%20%23179%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 1 — no website; hair salon in Catalina Foothills, 4.6★ 16 reviews"
Not Forgotten Mobile Hair Studio,catalina-foothills,1,124,none,notforgottenmobilehairstudio.com,5,1,hair_salon,https://maps.google.com/?q=Not%20Forgotten%20Mobile%20Hair%20Studio%204500%20E%20Sunrise%20Dr%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 1 — no website; hair salon in Catalina Foothills, 5★ 1 reviews"
The Art of Nails,oro-valley,1,122,none,artofnailstucson.com,4.4,132,nail_salon,https://maps.google.com/?q=The%20Art%20of%20Nails%2011931%20N%201st%20Ave%20%23103%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,"Tier 1 — no website; nail salon in Oro Valley, 4.4★ 132 reviews"
Chic Nail Boutique,oro-valley,1,122,none,chicnailboutiquetucson.com,4.3,102,nail_salon,https://maps.google.com/?q=Chic%20Nail%20Boutique%201880%20E%20Tangerine%20Rd%20%23%20120%2C%20Oro%20Valley%2C%20AZ%2085755%2C%20USA,"Tier 1 — no website; nail salon in Oro Valley, 4.3★ 102 reviews"
The Beauty Spot,oro-valley,1,122,none,beautyspottucson.com,5,9,spa,https://maps.google.com/?q=The%20Beauty%20Spot%2010420%20N%20La%20Ca%C3%B1ada%20Dr%20%23120%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,"Tier 1 — no website; spa in Oro Valley, 5★ 9 reviews"
Adient-Gyllenhaal Physical Therapy,oro-valley,1,122,none,adientgyllenhaalphysicaltherapy.com,4,1,physiotherapist,https://maps.google.com/?q=Adient-Gyllenhaal%20Physical%20Therapy%2012162%20N%20Rancho%20Vistoso%20Blvd%2C%20Oro%20Valley%2C%20AZ%2085755%2C%20USA,"Tier 1 — no website; physiotherapist in Oro Valley, 4★ 1 reviews"
"Razor's Edge Barbershop - Tucson, AZ",tanque-verde-sabino,1,122,none,razorsedgebarbershoptucsonaz.com,4.7,153,hair_salon,https://maps.google.com/?q=Razor%27s%20Edge%20Barbershop%20-%20Tucson%2C%20AZ%202462%20N%20Pantano%20Rd%20%232%2C%20Tucson%2C%20AZ%2085715%2C%20USA,"Tier 1 — no website; hair salon in Tanque Verde, 4.7★ 153 reviews"
Executive Healthcare And Aviation Medicine,catalina-foothills,2,102,wix,,5,12,doctor,https://maps.google.com/?q=Executive%20Healthcare%20And%20Aviation%20Medicine%206450%20N%20Swan%20Rd%20%23120%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 2 — wix site; doctor in Catalina Foothills, 5★ 12 reviews — upgrade from template"
Vivace Restaurant,catalina-foothills,2,100,wix,,4.7,2345,restaurant,https://maps.google.com/?q=Vivace%20Restaurant%206440%20N%20Campbell%20Ave%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 2 — wix site; restaurant in Catalina Foothills, 4.7★ 2345 reviews — upgrade from template"
Ventana,oro-valley,2,98,weebly,,5,81,physiotherapist,https://maps.google.com/?q=Ventana%207980%20N%20Oracle%20Rd%20Suite%20110%2C%20Oro%20Valley%2C%20AZ%2085704%2C%20USA,"Tier 2 — weebly site; physiotherapist in Oro Valley, 5★ 81 reviews — upgrade from template"
Bisbee Breakfast Club,catalina-foothills,2,97,wix,,4.4,1090,restaurant,https://maps.google.com/?q=Bisbee%20Breakfast%20Club%204811%20E%20Sunrise%20Dr%20Suite%20165%2C%20Tucson%2C%20AZ%2085718%2C%20USA,"Tier 2 — wix site; restaurant in Catalina Foothills, 4.4★ 1090 reviews — upgrade from template"
