business_name,address,phone,category,neighborhood,google_maps_url,website_url,quality_score,platform,registrar,est_monthly_cost,pain_points,priority_rank,outreach_doc_ready,place_id,rating,user_ratings_total,domain_suggestions
Rubio's Coastal Grill,"3421 E Broadway Blvd #101, Tucson, AZ 85716, USA",+1 520-326-1530,restaurant,broadway-corridor,https://maps.google.com/?q=Rubio%27s%20Coastal%20Grill%203421%20E%20Broadway%20Blvd%20%23101%2C%20Tucson%2C%20AZ%2085716%2C%20USA,https://www.rubios.com/restaurant-locations/arizona/tucson-broadway-blvd,2,wordpress,eNom,0,has website,1,false,ChIJA8dGhTBw1oYRTUScsQGvKAY,4.2,925,
Cheddar's Scratch Kitchen,"3455 E Broadway Blvd, Tucson, AZ 85716, USA",+1 520-327-0187,restaurant,broadway-corridor,https://maps.google.com/?q=Cheddar%27s%20Scratch%20Kitchen%203455%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085716%2C%20USA,https://www.cheddars.com/locations/az/tucson/tucson/2111?cmpid=br:csk_ag:ie_ch:loc_ca:CSKGMB_sn:gmb_gt:tucson-az-2111_pl:locurl_rd:1090,2,custom/unknown,MarkMonitor Inc.,0,has website,3,false,ChIJR5RGfTBw1oYRJ81s77OPQh4,4.4,5867,
Cinemark Century El Con 20 and XD,"3601 E Broadway Blvd, Tucson, AZ 85716, USA",+1 520-202-3358,restaurant,broadway-corridor,https://maps.google.com/?q=Cinemark%20Century%20El%20Con%2020%20and%20XD%203601%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085716%2C%20USA,https://www.cinemark.com/theatres/az-tucson/cinemark-century-el-con-20-and-xd?utm_medium=organic&utm_source=gmb&utm_campaign=local_listing_theater&utm_content=GMB_listing&y_source=1_MTc0OTMwMDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,2,custom/unknown,Network Solutions,0,has website,6,false,ChIJlVyPMzBw1oYR-naPSqhsYfA,4.3,8603,
In-N-Out Burger,"3711 E Broadway Blvd, Tucson, AZ 85716, USA",+1 800-786-1000,restaurant,broadway-corridor,https://maps.google.com/?q=In-N-Out%20Burger%203711%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085716%2C%20USA,https://locations.in-n-out.com/207,2,custom/unknown,unregistered,0,has website,7,false,ChIJV2SFVyVw1oYR0Yrux9lXW4A,4.6,5009,
Portillo's Tucson,"3761 E Broadway Blvd, Tucson, AZ 85716, USA",+1 520-246-2300,restaurant,broadway-corridor,https://maps.google.com/?q=Portillo%27s%20Tucson%203761%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085716%2C%20USA,https://www.portillos.com/index.html,2,,Network Solutions,0,has website,8,false,ChIJnd8CxY5x1oYRlnDq5igBDX0,4.4,1760,
Sushi Garden,"3048 E Broadway Blvd, Tucson, AZ 85716, USA",+1 520-326-4700,restaurant,broadway-corridor,https://maps.google.com/?q=Sushi%20Garden%203048%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085716%2C%20USA,https://sushigarden.com/,2,wordpress,GoDaddy.com,0,has website,9,false,ChIJWwOA3SVw1oYRlE-mQFOj5ss,4.1,2256,
Falora Pizza,"3000 E Broadway Blvd, Tucson, AZ 85716, USA",+1 520-325-9988,restaurant,broadway-corridor,https://maps.google.com/?q=Falora%20Pizza%203000%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085716%2C%20USA,http://www.falora.com/,2,weebly,IONOS SE,0,has website,10,false,ChIJt7bjOkhw1oYRc9UxBtfNKpM,4.4,427,
Bisbee Breakfast Club,"2936 E Broadway Blvd, Tucson, AZ 85716, USA",+1 520-327-0029,restaurant,broadway-corridor,https://maps.google.com/?q=Bisbee%20Breakfast%20Club%202936%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085716%2C%20USA,http://bisbeebreakfastclub.com/,2,wix,GoDaddy.com,0,has website,11,false,ChIJX3txPkhw1oYRfU8sOe6IyhQ,4.4,1074,
Angie's,"3805 E Broadway Blvd, Tucson, AZ 85716, USA",+1 623-471-8658,restaurant,broadway-corridor,https://maps.google.com/?q=Angie%27s%203805%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085716%2C%20USA,https://angiesprimegrill.com/,2,wix,GoDaddy.com,0,has website,12,false,ChIJYe-wR-Bx1oYR8HnZePi4wwg,3.4,175,
Kimchi Time,"2900 E Broadway Blvd, Tucson, AZ 85716, USA",+1 520-305-4900,restaurant,broadway-corridor,https://maps.google.com/?q=Kimchi%20Time%202900%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085716%2C%20USA,,1,,,0,no website,13,false,ChIJv09FXUhw1oYRS7lDioDUCRI,4.5,554,kimchitimetucson.com; kimchitimeaz.com
