business_name,address,phone,category,neighborhood,google_maps_url,website_url,quality_score,platform,registrar,est_monthly_cost,pain_points,priority_rank,outreach_doc_ready,place_id,rating,user_ratings_total,domain_suggestions
Tucson Wings,"12130 N Dove Mountain Blvd, Marana, AZ 85658, USA",+1 520-638-7069,restaurant,dove-mountain-marana,https://maps.google.com/?q=Tucson%20Wings%2012130%20N%20Dove%20Mountain%20Blvd%2C%20Marana%2C%20AZ%2085658%2C%20USA,https://tucsonwings.com/,2,wordpress,GoDaddy.com,0,has website,1,false,ChIJh1x1DB0J1oYRvpW5kUyUa-Q,3.2,32,
Indian twist dove mountain,"12130 N Dove Mountain Blvd, Marana, AZ 85658, USA",+1 520-638-7069,restaurant,dove-mountain-marana,https://maps.google.com/?q=Indian%20twist%20dove%20mountain%2012130%20N%20Dove%20Mountain%20Blvd%2C%20Marana%2C%20AZ%2085658%2C%20USA,,1,,,0,no website,2,false,ChIJCTHs8oEJ1oYRenzLHIHSDYA,3,11,indiantwistdovemountain.com; indiantwistdovemountaintucson.com
Amore—Dove Mountain,"12130 N Dove Mountain Blvd #104, Marana, AZ 85658, USA",+1 520-579-2292,restaurant,dove-mountain-marana,https://maps.google.com/?q=Amore%E2%80%94Dove%20Mountain%2012130%20N%20Dove%20Mountain%20Blvd%20%23104%2C%20Marana%2C%20AZ%2085658%2C%20USA,https://amoretucson.com/,2,custom/unknown,Tucows Domains Inc.,0,has website,3,false,ChIJhwYzg_kJ1oYRmrPJjmr6l-U,4.1,688,
Dove Mountain Brewing Company,"12130 N Dove Mountain Blvd, Marana, AZ 85658, USA",+1 520-579-8999,restaurant,dove-mountain-marana,https://maps.google.com/?q=Dove%20Mountain%20Brewing%20Company%2012130%20N%20Dove%20Mountain%20Blvd%2C%20Marana%2C%20AZ%2085658%2C%20USA,http://www.dovemountainbrew.com/,2,custom/unknown,Wild West Domains,0,has website,4,false,ChIJh2LS3fAJ1oYRuEv6MPdOcE0,4.2,782,
Old Pueblo Cellars,"10088 N St Patrick Rd, Tucson, AZ 85742, USA",+1 520-551-1011,restaurant,dove-mountain-marana,https://maps.google.com/?q=Old%20Pueblo%20Cellars%2010088%20N%20St%20Patrick%20Rd%2C%20Tucson%2C%20AZ%2085742%2C%20USA,https://www.oldpueblocellars.com/,2,wordpress,GoDaddy.com,0,has website,5,false,ChIJM-Edlv4L1oYRn3bBOIi8OFI,4.8,211,
Nico's Taco Shop,"12090 N Thornydale Rd, Marana, AZ 85658, USA",+1 520-433-0072,restaurant,dove-mountain-marana,https://maps.google.com/?q=Nico%27s%20Taco%20Shop%2012090%20N%20Thornydale%20Rd%2C%20Marana%2C%20AZ%2085658%2C%20USA,,1,,,0,no website,7,false,ChIJKYi_nbkL1oYRX2qIaN4uQlc,4.1,186,nicostacoshoptucson.com; nicostacoshopaz.com
Dove M Chinese Bistro,"12090 N Thornydale Rd #112, Marana, AZ 85658, USA",+1 520-638-8976,restaurant,dove-mountain-marana,https://maps.google.com/?q=Dove%20M%20Chinese%20Bistro%2012090%20N%20Thornydale%20Rd%20%23112%2C%20Marana%2C%20AZ%2085658%2C%20USA,https://www.dovemchinesebistro.com/,2,custom/unknown,GoDaddy.com,0,has website,8,false,ChIJ74nXqioK1oYRdjvSOvOafZg,4.4,540,
SNOWFOX Sushi,"12100 N Thornydale Rd, Marana, AZ 85658, USA",,restaurant,dove-mountain-marana,https://maps.google.com/?q=SNOWFOX%20Sushi%2012100%20N%20Thornydale%20Rd%2C%20Marana%2C%20AZ%2085658%2C%20USA,https://www.snowfox.com/,2,wordpress,123-Reg Limited,0,has website,9,false,ChIJIXyBhGML1oYRnZa9GACfDFY,4,4,
Bianchi's Italian Restaurant North,"3620 W Tangerine Rd, Marana, AZ 85658, USA",+1 520-579-8118,restaurant,dove-mountain-marana,https://maps.google.com/?q=Bianchi%27s%20Italian%20Restaurant%20North%203620%20W%20Tangerine%20Rd%2C%20Marana%2C%20AZ%2085658%2C%20USA,http://bianchisitalian.com/,2,,GoDaddy.com,0,has website,12,false,ChIJi-v1pdUL1oYRWHok_QEwhtg,4.1,625,
Chung's,"3620 W Tangerine Rd, Marana, AZ 85658, USA",,restaurant,dove-mountain-marana,https://maps.google.com/?q=Chung%27s%203620%20W%20Tangerine%20Rd%2C%20Marana%2C%20AZ%2085658%2C%20USA,,1,,,0,no website,13,false,ChIJjdQAVwAL1oYRyAQK0RaB-JE,,,chungstucson.com; chungsaz.com
Fitos Taco shop,"9665 N Thornydale Rd, Tucson, AZ 85742, USA",+1 520-744-4370,restaurant,dove-mountain-marana,https://maps.google.com/?q=Fitos%20Taco%20shop%209665%20N%20Thornydale%20Rd%2C%20Tucson%2C%20AZ%2085742%2C%20USA,https://www.fitostacoshopthornydale.com/order,2,custom/unknown,GoDaddy.com,0,has website,16,false,ChIJE3BVWqoL1oYR1qrBKayM3x0,3.8,234,
Crooked Tree Bar & Grill,"9101 N Thornydale Rd, Tucson, AZ 85742, USA",+1 520-744-3322,restaurant,dove-mountain-marana,https://maps.google.com/?q=Crooked%20Tree%20Bar%20%26%20Grill%209101%20N%20Thornydale%20Rd%2C%20Tucson%2C%20AZ%2085742%2C%20USA,,1,,,0,no website,18,false,ChIJU_k8beIK1oYRjJXf7L_pQuA,4,72,crookedtreebargrill.com; crookedtreebargrilltucson.com
The Highlands Bar & Grille,"4949 W Heritage Club Blvd, Marana, AZ 85658, USA",+1 520-579-9583,restaurant,dove-mountain-marana,https://maps.google.com/?q=The%20Highlands%20Bar%20%26%20Grille%204949%20W%20Heritage%20Club%20Blvd%2C%20Marana%2C%20AZ%2085658%2C%20USA,https://www.thehighlandsatdovemountain.com/?utm_source=google&utm_medium=gbp&utm_campaign=standard,2,custom/unknown,GoDaddy.com,0,has website,19,false,ChIJ8bU3pcAJ1oYRYsZziGSjBxs,4.7,236,
QuikTrip,"6555 W Twin Peaks Rd, Tucson, AZ 85742, USA",+1 520-848-5157,restaurant,dove-mountain-marana,https://maps.google.com/?q=QuikTrip%206555%20W%20Twin%20Peaks%20Rd%2C%20Tucson%2C%20AZ%2085742%2C%20USA,https://locations.quiktrip.com/az/marana/6555-w-twin-peaks-rd?utm_source=gmb&utm_medium=yext&y_source=1_ODE3MDk2MzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,2,custom/unknown,unregistered,0,has website,20,false,ChIJ2e-HU7rh1YYRCmW9KGGnSLE,4,44,
Oasis Golf Club & Lounge,"9290 N Thornydale Rd Suite 108, Tucson, AZ 85742, USA",+1 520-308-4840,bar,dove-mountain-marana,https://maps.google.com/?q=Oasis%20Golf%20Club%20%26%20Lounge%209290%20N%20Thornydale%20Rd%20Suite%20108%2C%20Tucson%2C%20AZ%2085742%2C%20USA,https://oasisgolftucson.com/,2,custom/unknown,Tucows Domains Inc.,0,has website,21,false,ChIJ29RUWbQL1oYRBrNvxFeYr2s,4.9,17,
Hawaii Fluid Art Tucson,"6401 Marana Center Blvd STE 800, Tucson, AZ 85742, USA",+1 520-850-8046,bar,dove-mountain-marana,https://maps.google.com/?q=Hawaii%20Fluid%20Art%20Tucson%206401%20Marana%20Center%20Blvd%20STE%20800%2C%20Tucson%2C%20AZ%2085742%2C%20USA,https://tucson.hawaiifluidart.com/,2,custom/unknown,unregistered,0,has website,22,false,ChIJLe737czh1YYRyeMmCNBuzEs,5,17,
Roadrunner Coffee Co.,"9665 N Thornydale Rd #140a, Tucson, AZ 85742, USA",+1 520-579-7011,cafe,dove-mountain-marana,https://maps.google.com/?q=Roadrunner%20Coffee%20Co.%209665%20N%20Thornydale%20Rd%20%23140a%2C%20Tucson%2C%20AZ%2085742%2C%20USA,http://www.roadrunnercoffeeco.com/,2,squarespace,Tucows Domains Inc.,0,has website,25,false,ChIJd0Nj7P8K1oYRgbUFA5F5TQo,4.4,620,
The Brew Keeni Coffee Co.,"6401 Marana Center Blvd, Tucson, AZ 85742, USA",,cafe,dove-mountain-marana,https://maps.google.com/?q=The%20Brew%20Keeni%20Coffee%20Co.%206401%20Marana%20Center%20Blvd%2C%20Tucson%2C%20AZ%2085742%2C%20USA,https://apps.apple.com/us/app/the-brew-keeni-coffee-co/id6504633092,2,custom/unknown,unregistered,0,has website,26,false,ChIJGe6KsBsL1oYRaHqxNBREc5I,5,8,
Blue Finch Bakery,"3580 W Montgomery St, Tucson, AZ 85742, USA",+1 520-780-9496,bakery,dove-mountain-marana,https://maps.google.com/?q=Blue%20Finch%20Bakery%203580%20W%20Montgomery%20St%2C%20Tucson%2C%20AZ%2085742%2C%20USA,http://www.thebluefinchbakery.com/,2,weebly,Register.com - Network Solutions,0,has website,27,false,ChIJ8z0rM6QL1oYRt_8ac5N9Xh8,4.8,23,
Fry's Marketplace,"12100 N Thornydale Rd, Marana, AZ 85658, USA",+1 520-572-6040,bakery,dove-mountain-marana,https://maps.google.com/?q=Fry%27s%20Marketplace%2012100%20N%20Thornydale%20Rd%2C%20Marana%2C%20AZ%2085658%2C%20USA,https://www.frysfood.com/stores/grocery/az/marana/tangerine-thornydale/660/00689?cid=loc_66000689_gmb,2,,Network Solutions,0,has website,28,false,ChIJiYe1RtUL1oYR-qF_0g8v-JA,4.3,991,
Saguaro & Sunrise,"W Condor Dr, Tucson, AZ 85742, USA",+1 937-225-1671,bakery,dove-mountain-marana,https://maps.google.com/?q=Saguaro%20%26%20Sunrise%20W%20Condor%20Dr%2C%20Tucson%2C%20AZ%2085742%2C%20USA,,1,,,0,no website,29,false,ChIJtUlA5kI5GgAR55JoLsHmYDA,5,15,saguarosunrisetucson.com; saguarosunriseaz.com
