business_name,address,phone,category,neighborhood,google_maps_url,website_url,quality_score,platform,registrar,est_monthly_cost,pain_points,priority_rank,outreach_doc_ready,place_id,rating,user_ratings_total,domain_suggestions
The Royal Room,"450 N 6th Ave, Tucson, AZ 85705, USA",+1 520-526-2386,restaurant,fourth-ave-downtown,https://maps.google.com/?q=The%20Royal%20Room%20450%20N%206th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://www.theroyalroomtucson.com/,2,squarespace,Tucows Domains Inc.,0,has website,1,false,ChIJnXxgoh5x1oYRUElE3HBAnPM,4.5,262,
Tap & Bottle,"403 N 6th Ave #135, Tucson, AZ 85705, USA",+1 520-344-8999,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Tap%20%26%20Bottle%20403%20N%206th%20Ave%20%23135%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://www.thetapandbottle.com/,2,squarespace,Squarespace Domains LLC,0,has website,2,false,ChIJ7SdOgh5x1oYRGHXz-eOeeGs,4.7,700,
BATA,"35 E Toole Ave, Tucson, AZ 85701, USA",+1 520-367-4718,restaurant,fourth-ave-downtown,https://maps.google.com/?q=BATA%2035%20E%20Toole%20Ave%2C%20Tucson%2C%20AZ%2085701%2C%20USA,https://batatucson.com/,2,squarespace,Tucows Domains Inc.,0,has website,3,false,ChIJHyo__fJx1oYRB4b95RlKcUI,4.4,397,
ANELLO,"222 E 6th St, Tucson, AZ 85705, USA",,restaurant,fourth-ave-downtown,https://maps.google.com/?q=ANELLO%20222%20E%206th%20St%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://anello.space/,2,squarespace,Tucows Domains Inc.,0,has website,4,false,ChIJbUJ_Ihxx1oYRKTa9GxQMY2w,4.7,591,
Senae Thai Street Food,"228 E 6th St, Tucson, AZ 85705, USA",+1 520-237-4448,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Senae%20Thai%20Street%20Food%20228%20E%206th%20St%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://www.senaestreetfood.com/,2,,Epik LLC,0,has website,5,false,ChIJoWDv12Jx1oYRMboMM4HjjvA,4.1,9,
CORBETT'S,"340 N 6th Ave, Tucson, AZ 85705, USA",+1 520-849-5690,restaurant,fourth-ave-downtown,https://maps.google.com/?q=CORBETT%27S%20340%20N%206th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://www.corbettstucson.com/,2,wordpress,GoDaddy.com,0,has website,6,false,ChIJ-8zfl0Nx1oYRsc4HnGoXp5A,4.5,529,
Sliced and Stacked,"640 N Stone Ave, Tucson, AZ 85705, USA",+1 520-406-9401,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Sliced%20and%20Stacked%20640%20N%20Stone%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,,1,,,0,no website,7,false,ChIJmzEdXgBx1oYRC1_Oa9m0PQg,,,slicedandstackedtucson.com; slicedandstackedaz.com
Aj's Famous Hollywood Hotdogs & Burgers,"E Toole Ave, Tucson, AZ 85701, USA",,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Aj%27s%20Famous%20Hollywood%20Hotdogs%20%26%20Burgers%20E%20Toole%20Ave%2C%20Tucson%2C%20AZ%2085701%2C%20USA,,1,,,0,no website,8,false,ChIJ0eTQAwBx1oYR_K_SACMxN0A,5,6,ajsfamoushollywoodhotdogsburgers.com; ajsfamoushollywoodhotdogsburgerstucson.com
Zeke's Pizza and Coffee,"161 N 6th Ave, Tucson, AZ 85701, USA",+1 520-540-1100,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Zeke%27s%20Pizza%20and%20Coffee%20161%20N%206th%20Ave%2C%20Tucson%2C%20AZ%2085701%2C%20USA,https://zekepizzascoffee0315.s4shops.com/,2,custom/unknown,unregistered,0,has website,9,false,ChIJYW_mOQBx1oYRg04TyyyHJN4,4.4,105,
Coop by cowpig,"429 N 4th Ave, Tucson, AZ 85713, USA",+1 520-526-2385,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Coop%20by%20cowpig%20429%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085713%2C%20USA,http://coopxcowpig.com/,2,wordpress,Automattic Inc.,0,has website,10,false,ChIJi39eSttx1oYRHwzIZsr-JxI,4.7,247,
Cafe Passe,"415 N 4th Ave, Tucson, AZ 85705, USA",+1 520-822-8660,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Cafe%20Passe%20415%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://www.cafepassetucson.com/,2,custom/unknown,Register.com - Network Solutions,0,has website,11,false,ChIJ00V3VRxx1oYRFWh9sXZJIG4,4.5,715,
4th Avenue Delicatessen,"425 N 4th Ave, Tucson, AZ 85705, USA",+1 520-624-3354,restaurant,fourth-ave-downtown,https://maps.google.com/?q=4th%20Avenue%20Delicatessen%20425%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://4thavedeli.com/,2,wix,Wix.com Ltd.,0,has website,12,false,ChIJA_O-Vhxx1oYRi-PSmOmYHTE,4.6,318,
Oaxarico,"151 N Stone Ave, Tucson, AZ 85701, USA",,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Oaxarico%20151%20N%20Stone%20Ave%2C%20Tucson%2C%20AZ%2085701%2C%20USA,,1,,,0,no website,13,false,ChIJJY1xRABx1oYRWsCe3ZaLhBE,4.9,11,oaxarico.com; oaxaricotucson.com
BOCA by Chef Maria Mazon,"533 N 4th Ave, Tucson, AZ 85705, USA",+1 520-777-8134,restaurant,fourth-ave-downtown,https://maps.google.com/?q=BOCA%20by%20Chef%20Maria%20Mazon%20533%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://www.bocatacos.com/,2,custom/unknown,GoDaddy.com,0,has website,14,false,ChIJ55rMjgVx1oYRD2M4gdnw1yQ,4.1,2949,
La Indita Restaurant,"722 N Stone Ave, Tucson, AZ 85705, USA",+1 520-792-0523,restaurant,fourth-ave-downtown,https://maps.google.com/?q=La%20Indita%20Restaurant%20722%20N%20Stone%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://lainditaaz.com/,2,,GoDaddy.com,0,has website,15,false,ChIJbYdEfxtx1oYRPdXIX7dI5Ao,4.5,1386,
Martins Comida Chingona,"557 N 4th Ave, Tucson, AZ 85705, USA",+1 520-884-7909,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Martins%20Comida%20Chingona%20557%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,,1,,,0,no website,16,false,ChIJd0MCfRxx1oYR6tB0t88dpqY,4.3,319,martinscomidachingonatucson.com; martinscomidachingonaaz.com
The Pit,"127 W 5th St, Tucson, AZ 85705, USA",+1 208-891-6090,restaurant,fourth-ave-downtown,https://maps.google.com/?q=The%20Pit%20127%20W%205th%20St%2C%20Tucson%2C%20AZ%2085705%2C%20USA,,1,,,0,no website,17,false,ChIJC50ztShx1oYR7c6hutJVyug,,,pittucson.com; pitarizona.com
Royal Foods,"347 N 4th Ave, Tucson, AZ 85705, USA",,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Royal%20Foods%20347%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,,1,,,0,no website,18,false,ChIJT0YEg1Zx1oYR3yycJlXUaDs,4.8,17,royalfoodstucson.com; royalfoodsaz.com
Caruso's,"434 N 4th Ave, Tucson, AZ 85705, USA",+1 520-624-5765,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Caruso%27s%20434%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://carusositalian.com/?utm_source=google,2,custom/unknown,GoDaddy.com,0,has website,19,false,ChIJBUcHWBxx1oYR-lOeoOVCqys,4.2,2097,
Magpies Gourmet Pizza 4th Ave.,"605 N 4th Ave, Tucson, AZ 85705, USA",+1 520-628-1661,restaurant,fourth-ave-downtown,https://maps.google.com/?q=Magpies%20Gourmet%20Pizza%204th%20Ave.%20605%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://magpiespizza.com/,2,custom/unknown,Bluehost Inc.,0,has website,20,false,ChIJqXLPfxxx1oYRlvoeCz4f5YE,4.2,810,
barbata,"Basement, 35 E Toole Ave, Tucson, AZ 85701, USA",+1 520-367-4718,bar,fourth-ave-downtown,https://maps.google.com/?q=barbata%20Basement%2C%2035%20E%20Toole%20Ave%2C%20Tucson%2C%20AZ%2085701%2C%20USA,http://batatucson.com/barbata,2,squarespace,Tucows Domains Inc.,0,has website,21,false,ChIJh1gMe1px1oYRkGdiyvckNqo,4.8,16,
Mr. Heads,"513 N 4th Ave, Tucson, AZ 85705, USA",+1 520-792-2710,bar,fourth-ave-downtown,https://maps.google.com/?q=Mr.%20Heads%20513%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://m.facebook.com/mrheads/,2,custom/unknown,unregistered,0,has website,22,false,ChIJo70mYRxx1oYRX92VYztS770,4.4,1381,
Bar Passe,"417 N 4th Ave, Tucson, AZ 85705, USA",+1 520-624-4411,bar,fourth-ave-downtown,https://maps.google.com/?q=Bar%20Passe%20417%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,,1,,,0,no website,23,false,ChIJg_QdtGlx1oYRqWzE9-OL-Uk,4.8,21,barpasse.com; barpassetucson.com
The Hut,"305 N 4th Ave, Tucson, AZ 85705, USA",+1 520-623-3200,bar,fourth-ave-downtown,https://maps.google.com/?q=The%20Hut%20305%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://facebook.com/TheHutTucson/,2,custom/unknown,RegistrarSafe,0,has website,24,false,ChIJC3bdoR1x1oYRfhRBxcTkVhA,4.3,1271,
John Henry’s,"117 N 6th Ave, Tucson, AZ 85701, USA",,bar,fourth-ave-downtown,https://maps.google.com/?q=John%20Henry%E2%80%99s%20117%20N%206th%20Ave%2C%20Tucson%2C%20AZ%2085701%2C%20USA,,1,,,0,no website,25,false,ChIJbyFzqOFx1oYRnwy_yvTqQiY,4.7,145,johnhenrystucson.com; johnhenrysaz.com
Surly Wench Pub,"424 N 4th Ave, Tucson, AZ 85705, USA",+1 520-882-0009,bar,fourth-ave-downtown,https://maps.google.com/?q=Surly%20Wench%20Pub%20424%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,http://www.surlywenchpub.com/,2,custom/unknown,GoDaddy.com,0,has website,26,false,ChIJLwYdVhxx1oYRpk_o1SEHiKQ,4.6,1088,
Lindy's on 4th,"500 N 4th Ave, Tucson, AZ 85705, USA",+1 520-207-6970,bar,fourth-ave-downtown,https://maps.google.com/?q=Lindy%27s%20on%204th%20500%20N%204th%20Ave%2C%20Tucson%2C%20AZ%2085705%2C%20USA,https://lo4th.com/?utm_source=google,2,custom/unknown,Bluehost Inc.,0,has website,27,false,ChIJhYLSVxxx1oYR9QLd5ZHHiJ4,4.4,2400,
