business_name,address,phone,category,neighborhood,google_maps_url,website_url,quality_score,platform,registrar,est_monthly_cost,pain_points,priority_rank,outreach_doc_ready,place_id,rating,user_ratings_total,domain_suggestions
China Valley Chinese Restaurant,"10110 N Oracle Rd #180, Oro Valley, AZ 85737, USA",+1 520-354-2097,restaurant,oro-valley,https://maps.google.com/?q=China%20Valley%20Chinese%20Restaurant%2010110%20N%20Oracle%20Rd%20%23180%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,https://www.chinavalleytogo.com/,2,custom/unknown,GoDaddy.com,0,has website,1,false,ChIJv-aGjvAM1oYRo3E9YBysMME,4.5,311,
El Molinito Restaurant,"10180 N Oracle Rd, Oro Valley, AZ 85737, USA",+1 520-268-8180,restaurant,oro-valley,https://maps.google.com/?q=El%20Molinito%20Restaurant%2010180%20N%20Oracle%20Rd%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,https://elmolinitorestaurants.com/,2,custom/unknown,GoDaddy.com,0,has website,2,false,ChIJ39S9jfAM1oYRvzPrNSe48rU,4,1233,
Seis Kitchen Oro Valley,"9740 N Oracle Rd #110, Oro Valley, AZ 85704, USA",+1 520-797-5669,restaurant,oro-valley,https://maps.google.com/?q=Seis%20Kitchen%20Oro%20Valley%209740%20N%20Oracle%20Rd%20%23110%2C%20Oro%20Valley%2C%20AZ%2085704%2C%20USA,https://www.seiskitchen.com/,2,custom/unknown,GoDaddy.com,0,has website,3,false,ChIJaesfQgwN1oYRBkBidn0IYHU,4.2,669,
Sushi Valley,"10509 N Oracle Rd #131, Oro Valley, AZ 85737, USA",+1 520-219-1908,restaurant,oro-valley,https://maps.google.com/?q=Sushi%20Valley%2010509%20N%20Oracle%20Rd%20%23131%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,http://sushi-valley.com/,2,wordpress,eNom,0,has website,4,false,ChIJYW0p9_gM1oYRXZ1WLmt4rpQ,4.4,350,
Rubio's Coastal Grill,"10509 N Oracle Rd, Oro Valley, AZ 85737, USA",+1 520-297-9551,restaurant,oro-valley,https://maps.google.com/?q=Rubio%27s%20Coastal%20Grill%2010509%20N%20Oracle%20Rd%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,https://www.rubios.com/restaurant-locations/arizona/oro-valley,2,wordpress,eNom,0,has website,5,false,ChIJIb3GZ_gM1oYRbfssuZnb4do,4.2,695,
Nautical Bowls,"10515 N Oracle Rd #167, Oro Valley, AZ 85737, USA",+1 520-771-1138,restaurant,oro-valley,https://maps.google.com/?q=Nautical%20Bowls%2010515%20N%20Oracle%20Rd%20%23167%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,https://nauticalbowls.com/store/orovalley/,2,wordpress,GoDaddy.com,0,has website,6,false,ChIJkSghWlUN1oYRXp8D4SCUYGs,4.9,335,
Filiberto’s Mexican Food,"10535 N Oracle Rd, Oro Valley, AZ 85737, USA",+1 520-219-7116,restaurant,oro-valley,https://maps.google.com/?q=Filiberto%E2%80%99s%20Mexican%20Food%2010535%20N%20Oracle%20Rd%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,https://www.doordash.com/store/filibertos-mexican-food-oro-valley-420123/1206184/?preview=1,2,custom/unknown,MarkMonitor Inc.,0,has website,8,false,ChIJU8UO8UAN1oYR7IxvpxAhv9w,4.1,617,
DiBella’s Brunch N’ Booze,"9630 N Oracle Rd #110, Oro Valley, AZ 85704, USA",+1 520-258-0595,restaurant,oro-valley,https://maps.google.com/?q=DiBella%E2%80%99s%20Brunch%20N%E2%80%99%20Booze%209630%20N%20Oracle%20Rd%20%23110%2C%20Oro%20Valley%2C%20AZ%2085704%2C%20USA,,1,,,0,no website,9,false,ChIJwzTcWgAN1oYR4ySSjYye6NM,4.4,245,dibellasbrunchnbooze.com; dibellasbrunchnboozetucson.com
Ciao Down Pizza Bistro,"10565 N Oracle Rd #111, Oro Valley, AZ 85737, USA",,restaurant,oro-valley,https://maps.google.com/?q=Ciao%20Down%20Pizza%20Bistro%2010565%20N%20Oracle%20Rd%20%23111%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,https://www.ciaodownpizza.com/,2,wix,Wix.com Ltd.,0,has website,10,false,ChIJKVG0ciIN1oYRZtPW4kvFSJc,4.3,106,
First Watch,"10565 N Oracle Rd #103, Oro Valley, AZ 85737, USA",+1 520-544-6115,restaurant,oro-valley,https://maps.google.com/?q=First%20Watch%2010565%20N%20Oracle%20Rd%20%23103%2C%20Oro%20Valley%2C%20AZ%2085737%2C%20USA,http://www.firstwatch.com/locations/rooney-ranch/?utm_source=gbp-listing&utm_medium=organic&utm_campaign=gbp-listing&utm_content=rooney-ranch,2,wordpress,Network Solutions,0,has website,11,false,ChIJ1z90mfgM1oYRQgQmegu8ym8,4.4,1563,
