business_name,address,phone,category,neighborhood,google_maps_url,website_url,quality_score,platform,est_monthly_cost,pain_points,priority_rank,outreach_doc_ready,place_id,rating,user_ratings_total
Shake Smart,"1400 E 6th St, Tucson, AZ 85721, USA",+1 512-222-8915,restaurant,sam-hughes-university,https://maps.google.com/?q=Shake%20Smart%201400%20E%206th%20St%2C%20Tucson%2C%20AZ%2085721%2C%20USA,http://www.shakesmart.com/,2,,0,has website,1,false,ChIJNXaGpP9x1oYRLJgJnYmHBNM,4.1,26
Arizona Sands Club,"565 N Cherry Ave Fl 5, Tucson, AZ 85719, USA",+1 520-621-8300,restaurant,sam-hughes-university,https://maps.google.com/?q=Arizona%20Sands%20Club%20565%20N%20Cherry%20Ave%20Fl%205%2C%20Tucson%2C%20AZ%2085719%2C%20USA,https://ovgsocialclubs.com/arizona-sands-club/,2,,0,has website,2,false,ChIJkaT34ltx1oYR6oIK9ysv2So,4.6,185
Bear Down Kitchen,"565 N Cherry Ave Floor 4, Tucson, AZ 85721, USA",+1 520-621-8300,restaurant,sam-hughes-university,https://maps.google.com/?q=Bear%20Down%20Kitchen%20565%20N%20Cherry%20Ave%20Floor%204%2C%20Tucson%2C%20AZ%2085721%2C%20USA,,1,,0,no website,3,false,ChIJnzbXV6px1oYRqFUEUm9fPD8,4,38
Momo's on 6th,"1838 E 6th St, Tucson, AZ 85719, USA",+1 520-849-5644,restaurant,sam-hughes-university,https://maps.google.com/?q=Momo%27s%20on%206th%201838%20E%206th%20St%2C%20Tucson%2C%20AZ%2085719%2C%20USA,,1,,0,no website,4,false,ChIJz0KOOiVx1oYRXzj2wjm0aVM,4.5,274
Tucson Gastro Park,"1625 E Broadway Blvd, Tucson, AZ 85719, USA",,restaurant,sam-hughes-university,https://maps.google.com/?q=Tucson%20Gastro%20Park%201625%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085719%2C%20USA,,1,,0,no website,5,false,ChIJIzqUVQBx1oYRA09NoVzZ5uM,,
Zing Zing's,"1122 E 6th St, Tucson, AZ 85719, USA",+1 520-578-2222,restaurant,sam-hughes-university,https://maps.google.com/?q=Zing%20Zing%27s%201122%20E%206th%20St%2C%20Tucson%2C%20AZ%2085719%2C%20USA,,1,,0,no website,6,false,ChIJQc6ktgFx1oYR7ebIviIywTY,4.4,111
Reds tacos & more,"1118 E 6th St, Tucson, AZ 85719, USA",+1 520-279-7833,restaurant,sam-hughes-university,https://maps.google.com/?q=Reds%20tacos%20%26%20more%201118%20E%206th%20St%2C%20Tucson%2C%20AZ%2085719%2C%20USA,https://redstacos.com/,2,,0,has website,7,false,ChIJ6TMIfy1x1oYRD8GEO64NNDc,4.6,54
Trident Pizza Pub,"446 North Campbell Avenue Suite 100 at 6th Street, Tucson, AZ 85719, USA",+1 520-274-7068,restaurant,sam-hughes-university,https://maps.google.com/?q=Trident%20Pizza%20Pub%20446%20North%20Campbell%20Avenue%20Suite%20100%20at%206th%20Street%2C%20Tucson%2C%20AZ%2085719%2C%20USA,http://www.tridentgrill.com/,2,,0,has website,8,false,ChIJobiTcBNx1oYRvunb9iH_h-I,4.5,730
"Cheba Hut ""Toasted"" Subs","446 N Campbell Ave STE 2, Tucson, AZ 85719, USA",+1 520-495-4719,restaurant,sam-hughes-university,https://maps.google.com/?q=Cheba%20Hut%20%22Toasted%22%20Subs%20446%20N%20Campbell%20Ave%20STE%202%2C%20Tucson%2C%20AZ%2085719%2C%20USA,https://chebahut.com/locations/tusconaz/?utm_source=google&utm_medium=GBP&utm_campaign=Tucson+-+Campbell,2,,0,has website,9,false,ChIJ62ZLVVNw1oYRZM-NzDDnWUs,4.6,1679
3MARGARITAS KITCHEN (FOOD TRUCK),"1540 E Broadway Blvd, Tucson, AZ 85719, USA",+1 520-474-7289,restaurant,sam-hughes-university,https://maps.google.com/?q=3MARGARITAS%20KITCHEN%20%28FOOD%20TRUCK%29%201540%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085719%2C%20USA,https://3margaritaskitchen.blogspot.com/,2,,0,has website,10,false,ChIJa1aNSD5x1oYRU79TvdZXeTw,4.8,29
Ramiro’s Taco Shop,"1350 E Broadway Blvd, Tucson, AZ 85719, USA",+1 520-849-5931,restaurant,sam-hughes-university,https://maps.google.com/?q=Ramiro%E2%80%99s%20Taco%20Shop%201350%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085719%2C%20USA,,1,,0,no website,11,false,ChIJ7SMhU_9w1oYRPATYf1w_Z80,4.3,1374
Sunshine Wine,"15 N Santa Rita Ave, Tucson, AZ 85719, USA",+1 520-771-6279,restaurant,sam-hughes-university,https://maps.google.com/?q=Sunshine%20Wine%2015%20N%20Santa%20Rita%20Ave%2C%20Tucson%2C%20AZ%2085719%2C%20USA,https://www.thetapandbottle.com/sunshine-wine,2,,0,has website,12,false,ChIJJxd-I3Vx1oYRORSEUqwtHzk,4.6,45
Ahmads Kabobs & Shawarma,"1148 E Broadway Blvd, Tucson, AZ 85719, USA",+1 480-770-6122,restaurant,sam-hughes-university,https://maps.google.com/?q=Ahmads%20Kabobs%20%26%20Shawarma%201148%20E%20Broadway%20Blvd%2C%20Tucson%2C%20AZ%2085719%2C%20USA,,1,,0,no website,13,false,ChIJObsXRW1x1oYRGMLO_OVKong,5,14
El Beto Mexican Food,"32 N Campbell Ave, Tucson, AZ 85719, USA",+1 520-622-0301,restaurant,sam-hughes-university,https://maps.google.com/?q=El%20Beto%20Mexican%20Food%2032%20N%20Campbell%20Ave%2C%20Tucson%2C%20AZ%2085719%2C%20USA,https://elbetomexicanfoodaz.com/,2,,0,has website,14,false,ChIJy2F9XlFw1oYR0YBW1KVoHm8,4.1,544
