business_name,address,phone,category,neighborhood,google_maps_url,website_url,quality_score,platform,registrar,est_monthly_cost,pain_points,priority_rank,outreach_doc_ready,place_id,rating,user_ratings_total,domain_suggestions
HarkensAuto,"9225 E Tanque Verde Rd, Tucson, AZ 85749, USA",+1 520-850-7700,restaurant,tanque-verde-sabino,https://maps.google.com/?q=HarkensAuto%209225%20E%20Tanque%20Verde%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,,1,,,0,no website,1,false,ChIJrcLGtBlp1oYRad2awnzRGbQ,,,harkensauto.com; harkensautotucson.com
ZENSHI Handcrafted Sushi,"9125 E Tanque Verde Rd, Tucson, AZ 85749, USA",+1 520-760-6087,restaurant,tanque-verde-sabino,https://maps.google.com/?q=ZENSHI%20Handcrafted%20Sushi%209125%20E%20Tanque%20Verde%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,https://www.zenshisushi.com/,2,wix,Network Solutions,0,has website,2,false,ChIJydFBAZNp1oYRR7NysTVlIJU,,,
Le Buzz,"9121 E Tanque Verde Rd #125, Tucson, AZ 85749, USA",+1 520-749-3903,restaurant,tanque-verde-sabino,https://maps.google.com/?q=Le%20Buzz%209121%20E%20Tanque%20Verde%20Rd%20%23125%2C%20Tucson%2C%20AZ%2085749%2C%20USA,http://www.lebuzzcaffe.com/,2,squarespace,Network Solutions,0,has website,3,false,ChIJud9zOS9p1oYRoctH9vZzrkg,4.7,836,
The Ranch Bar and Grill - Tucson,"9155 E Tanque Verde Rd #177, Tucson, AZ 85749, USA",+1 520-468-2001,restaurant,tanque-verde-sabino,https://maps.google.com/?q=The%20Ranch%20Bar%20and%20Grill%20-%20Tucson%209155%20E%20Tanque%20Verde%20Rd%20%23177%2C%20Tucson%2C%20AZ%2085749%2C%20USA,https://www.theranchbarandgrilltucson.com/,2,custom/unknown,GoDaddy.com,0,has website,4,false,ChIJFZtSQQBp1oYRw-KLfLtZZho,4.2,194,
La Herradura Mexican Grill & Seafood,"9165 E Tanque Verde Rd, Tucson, AZ 85749, USA",+1 520-749-4226,restaurant,tanque-verde-sabino,https://maps.google.com/?q=La%20Herradura%20Mexican%20Grill%20%26%20Seafood%209165%20E%20Tanque%20Verde%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,https://laherradurakitchen.com/,2,custom/unknown,Squarespace Domains II LLC,0,has website,6,false,ChIJ2-YttChp1oYRePcT1qLpQ-g,4.2,1039,
The Gardens at Bear Canyon,"8991 E Tanque Verde Rd, Tucson, AZ 85749, USA",+1 520-696-9227,restaurant,tanque-verde-sabino,https://maps.google.com/?q=The%20Gardens%20at%20Bear%20Canyon%208991%20E%20Tanque%20Verde%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,https://the-gardens-bar-and-grill.mypagecloud.com/,2,custom/unknown,unregistered,0,has website,7,false,ChIJu6O6Oitp1oYR-p9dC0RuACY,4.6,216,
Viv's Cafe,"8987 E Tanque Verde Rd #361, Tucson, AZ 85749, USA",+1 520-760-8622,restaurant,tanque-verde-sabino,https://maps.google.com/?q=Viv%27s%20Cafe%208987%20E%20Tanque%20Verde%20Rd%20%23361%2C%20Tucson%2C%20AZ%2085749%2C%20USA,,1,,,0,no website,8,false,ChIJRwOGti5p1oYR0lhO5_86mcU,4.6,478,vivscafetucson.com; vivscafeaz.com
Bear Canyon Pizza on Tanque Verde,"8987 E Tanque Verde Rd #335, Tucson, AZ 85749, USA",+1 520-749-8227,restaurant,tanque-verde-sabino,https://maps.google.com/?q=Bear%20Canyon%20Pizza%20on%20Tanque%20Verde%208987%20E%20Tanque%20Verde%20Rd%20%23335%2C%20Tucson%2C%20AZ%2085749%2C%20USA,https://bearcanyonpizza.com/,2,custom php,GoDaddy.com,0,has website,10,false,ChIJgY328S5p1oYRQjG5r1mXn3o,4.3,1129,
Viva Mexican Food,"8995 E Tanque Verde Rd, Tucson, AZ 85749, USA",+1 520-332-2340,restaurant,tanque-verde-sabino,https://maps.google.com/?q=Viva%20Mexican%20Food%208995%20E%20Tanque%20Verde%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,https://vivamexicanfood.com/,2,wix,Wix.com Ltd.,0,has website,11,false,ChIJA25Bc19p1oYRzbOdaIbfr6A,3.5,159,
Street Taco & Beer Co.,"8898 E Tanque Verde Rd, Tucson, AZ 85749, USA",,restaurant,tanque-verde-sabino,https://maps.google.com/?q=Street%20Taco%20%26%20Beer%20Co.%208898%20E%20Tanque%20Verde%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,https://streettaco.online/,2,,Register.com - Network Solutions,0,has website,13,false,ChIJ-bBuULVp1oYRzoRcrssJNVI,4.3,243,
Tandem American Eatery,"8864 E Tanque Verde Rd, Tucson, AZ 85749, USA",+1 520-526-2501,restaurant,tanque-verde-sabino,https://maps.google.com/?q=Tandem%20American%20Eatery%208864%20E%20Tanque%20Verde%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,http://tandemaz.com/,2,custom/unknown,GoDaddy.com,0,has website,14,false,ChIJH9d5MFop14YRF26e7V5fjYQ,4.5,396,
Rosati's Pizza,"8814 E Tanque Verde Rd Ste. 16, Tucson, AZ 85749, USA",+1 520-760-4777,restaurant,tanque-verde-sabino,https://maps.google.com/?q=Rosati%27s%20Pizza%208814%20E%20Tanque%20Verde%20Rd%20Ste.%2016%2C%20Tucson%2C%20AZ%2085749%2C%20USA,https://myrosatis.com/tucsontanqueverde/,2,wordpress,NameCheap,0,has website,15,false,ChIJi9KPfixp1oYRaomFp1Wzbgk,4.1,282,
Solana Guest Ranch,"2200 N Kimberlee Rd, Tucson, AZ 85749, USA",+1 520-565-1799,restaurant,tanque-verde-sabino,https://maps.google.com/?q=Solana%20Guest%20Ranch%202200%20N%20Kimberlee%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,https://www.solanaguestranch.com/,2,wordpress,GoDaddy.com,0,has website,16,false,ChIJLRjsE7Jp1oYR3aIZpaE5VhA,5,3,
The Barnyard Crafthouse & Eatery,"11011 E Tanque Verde Rd, Tucson, AZ 85749, USA",+1 520-600-7570,restaurant,tanque-verde-sabino,https://maps.google.com/?q=The%20Barnyard%20Crafthouse%20%26%20Eatery%2011011%20E%20Tanque%20Verde%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,https://barnyardaz.com/,2,wordpress,Wild West Domains,0,has website,17,false,ChIJz551RT9p1oYRJrWuMCXvFK0,4.2,1252,
Arizona National Golf Club,"9777 E Sabino Greens Dr, Tucson, AZ 85749, USA",+1 520-749-4089,restaurant,tanque-verde-sabino,https://maps.google.com/?q=Arizona%20National%20Golf%20Club%209777%20E%20Sabino%20Greens%20Dr%2C%20Tucson%2C%20AZ%2085749%2C%20USA,https://www.arizonanationalgolfclub.com/?utm_source=extnet&utm_medium=yext,2,wordpress,GoDaddy.com,0,has website,18,false,ChIJ8zhdX-Br1oYRgCibKTsy_j4,4.4,489,
Thirsty's Neighborhood Grill,"2422 N Pantano Rd, Tucson, AZ 85715, USA",+1 520-885-6585,restaurant,tanque-verde-sabino,https://maps.google.com/?q=Thirsty%27s%20Neighborhood%20Grill%202422%20N%20Pantano%20Rd%2C%20Tucson%2C%20AZ%2085715%2C%20USA,https://m.facebook.com/thirstysgrillandbar/,2,custom/unknown,unregistered,0,has website,19,false,ChIJvZvqGdlu1oYRS5llNUhr7pY,4.3,743,
Jason's Mexican Restaurant,"2400 N Pantano Rd, Tucson, AZ 85715, USA",+1 520-460-2802,restaurant,tanque-verde-sabino,https://maps.google.com/?q=Jason%27s%20Mexican%20Restaurant%202400%20N%20Pantano%20Rd%2C%20Tucson%2C%20AZ%2085715%2C%20USA,https://jasonsmexicanrestaurant.shop/,2,custom/unknown,unknown,0,has website,20,false,ChIJc1drHdlu1oYRtDEm3CBlRBo,4.2,626,
Forty Niner,"12000 E Tanque Verde Rd, Tucson, AZ 85749, USA",+1 520-749-4925,bar,tanque-verde-sabino,https://maps.google.com/?q=Forty%20Niner%2012000%20E%20Tanque%20Verde%20Rd%2C%20Tucson%2C%20AZ%2085749%2C%20USA,http://www.fortyninercc.com/,2,custom/unknown,eNom,0,has website,21,false,ChIJ9ZuX_zho1oYRfCHhNW18TtY,4.3,541,
